Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,92,avg_fractional_cadence,uint8,,,,,,,,,,,,1
,93,max_fractional_cadence,uint8,,,,,,,,,,,,1
,94,total_fractional_cycles,uint8,,,,,,,,,,,,1
,95,avg_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,
,96,min_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,
,97,max_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,
,98,avg_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,
,99,min_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,
,100,max_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,
,101,avg_left_torque_effectiveness,uint8,,,,,,,,,,,,
,102,avg_right_torque_effectiveness,uint8,,,,,,,,,,,,
,103,avg_left_pedal_smoothness,uint8,,,,,,,,,,,,
,104,avg_right_pedal_smoothness,uint8,,,,,,,,,,,,
,105,avg_combined_pedal_smoothness,uint8,,,,,,,,,,,,
,111,sport_index,uint8,,,,,,,,,,,,1
,112,time_standing,uint32,,,,,,,,,,,,
,113,stand_count,uint16,,,,,,,,,,,,
,114,avg_left_pco,sint8,,,,,,,,,,,,
,115,avg_right_pco,sint8,,,,,,,,,,,,
,116,avg_left_power_phase,uint8,[N],,,,,,,,,,,
,117,avg_left_power_phase_peak,uint8,[N],,,,,,,,,,,
,118,avg_right_power_phase,uint8,[N],,,,,,,,,,,
,119,avg_right_power_phase_peak,uint8,[N],,,,,,,,,,,
,120,avg_power_position,uint16,[N],,,,,,,,,,,
,121,max_power_position,uint16,[N],,,,,,,,,,,
,122,avg_cadence_position,uint8,[N],,,,,,,,,,,
,123,max_cadence_position,uint8,[N],,,,,,,,,,,
,124,enhanced_avg_speed,uint32,,,,,,,,,,,,1
,125,enhanced_max_speed,uint32,,,,,,,,,,,,1
,126,enhanced_avg_altitude,uint32,,,,,,,,,,,,1
,127,enhanced_min_altitude,uint32,,,,,,,,,,,,1
,128,enhanced_max_altitude,uint32,,,,,,,,,,,,1
,129,avg_lev_motor_power,uint16,,,,,,,,,,,,
,130,max_lev_motor_power,uint16,,,,,,,,,,,,
,131,lev_battery_consumption,uint8,,,,,,,,,,,,
,132,avg_vertical_ratio,uint16,,,,,,,,,,,,
,133,avg_stance_time_balance,uint16,,,,,,,,,,,,
,134,avg_step_length,uint16,,,,,,,,,,,,
,137,total_anaerobic_training_effect,uint8,,,,,,,,,,,,1

lap,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,,,,,,,,1
,4,start_position_long,sint32,,,,,,,,,,,,1
,5,end_position_lat,sint32,,,,,,,,,,,,1
,6,end_position_long,sint32,,,,,,,,,,,,1
,7,total_elapsed_time,uint32,,,,,,,,,,,,1
,8,total_timer_time,uint32,,,,,,,,,,,,1
,9,total_distance,uint32,,,,,,,,,,,,1
,10,total_cycles,uint32,,,,,,,,,,,,1
,,total_strides,uint32,,,,,,,,,,,,1
,11,total_calories,uint16,,,,,,,,,,,,1
,12,total_fat_calories,uint16,,,,,,,,,,,,1
,13,avg_speed,uint16,,,,,,,,,,,,1
,14,max_speed,uint16,,,,,,,,,,,,1
,15,avg_heart_rate,uint8,,,,,,,,,,,,1
,16,max_heart_rate,uint8,,,,,,,,,,,,1
,17,avg_cadence,uint8,,,,,,,,,,,,1
,,avg_running_cadence,uint8,,,,,,,,,,,,1
,18,max_cadence,uint8,,,,,,,,,,,,1
,,max_running_cadence,uint8,,,,,,,,,,,,1
,19,avg_power,uint16,,,,,,,,,,,,1
,20,max_power,uint16,,,,,,,,,,,,1
,21,total_ascent,uint16,,,,,,,,,,,,1
,22,total_descent,uint16,,,,,,,,,,,,1
,23,intensity,intensity,,,,,,,,,,,,1
